OID_,Field1,cntNo,id,date,timeX,time,lat,lon,tempC,extTemp,activity,speedKm,dir,altM,cov,hdop,distM,count,fileName,insideKNP,idF,dateTime,label
0,8177,8177,SAT1841,2016/02/03 00:00,1899/12/31 00:00:00,10:40:57,-25.172117,31.680433,35,0,0,0,0,317,0,3,522,307,SAT 1841.xlsx,Y,SAT1841,2016/02/03 00:00,1
1,8180,8180,SAT1841,2016/02/03 00:00,1899/12/31 00:00:00,18:40:56,-25.175,31.679983,36.5,0,0,0,0,337,4,2,323,310,SAT 1841.xlsx,Y,SAT1841,2016/02/03 00:00,0
2,8182,8182,SAT1841,2016/02/04 00:00,1899/12/31 00:00:00,10:40:51,-25.18895,31.6931,28,0,0,0,0,325,0,3,2039,312,SAT 1841.xlsx,Y,SAT1841,2016/02/04 00:00,1
3,8184,8184,SAT1841,2016/02/04 00:00,1899/12/31 00:00:00,22:40:57,-25.17735,31.6822,26,0,0,0,0,365,0,2,1695,314,SAT 1841.xlsx,Y,SAT1841,2016/02/04 00:00,1
4,8185,8185,SAT1841,2016/02/05 00:00,1899/12/31 00:00:00,02:40:32,-25.177483,31.679317,22,0,0,0,0,323,5,2,291,315,SAT 1841.xlsx,Y,SAT1841,2016/02/05 00:00,1
5,8186,8186,SAT1841,2016/02/05 00:00,1899/12/31 00:00:00,06:40:57,-25.178583,31.6795,24,0,0,0,0,349,5,2,124,316,SAT 1841.xlsx,Y,SAT1841,2016/02/05 00:00,0
6,8187,8187,SAT1841,2016/02/05 00:00,1899/12/31 00:00:00,10:40:38,-25.177383,31.680783,34,0,0,0,0,347,3,15,186,317,SAT 1841.xlsx,Y,SAT1841,2016/02/05 00:00,0
7,8188,8188,SAT1841,2016/02/05 00:00,1899/12/31 00:00:00,14:40:32,-25.177583,31.68095,37,0,0,0,0,348,0,4,28,318,SAT 1841.xlsx,Y,SAT1841,2016/02/05 00:00,0
8,8189,8189,SAT1841,2016/02/05 00:00,1899/12/31 00:00:00,22:40:57,-25.186967,31.67595,27,0,0,0,0,345,0,2,1160,319,SAT 1841.xlsx,Y,SAT1841,2016/02/05 00:00,0
9,8192,8192,SAT1841,2016/02/06 00:00,1899/12/31 00:00:00,06:40:32,-25.1981,31.714667,24,0,0,0,0,276,5,1,4092,322,SAT 1841.xlsx,Y,SAT1841,2016/02/06 00:00,0
10,8193,8193,SAT1841,2016/02/06 00:00,1899/12/31 00:00:00,14:40:35,-25.188633,31.713317,38,0,0,0,0,300,0,7,1063,323,SAT 1841.xlsx,Y,SAT1841,2016/02/06 00:00,0
11,8196,8196,SAT1841,2016/02/07 00:00,1899/12/31 00:00:00,02:40:32,-25.18785,31.678783,25,0,0,0,0,353,2,1,3480,326,SAT 1841.xlsx,Y,SAT1841,2016/02/07 00:00,1
12,8197,8197,SAT1841,2016/02/07 00:00,1899/12/31 00:00:00,06:41:02,-25.187567,31.674367,25.5,0,0,0,0,345,1,2,446,327,SAT 1841.xlsx,Y,SAT1841,2016/02/07 00:00,0
13,8199,8199,SAT1841,2016/02/07 00:00,1899/12/31 00:00:00,10:40:51,-25.195633,31.694083,33,0,0,0,0,293,2,2,2180,329,SAT 1841.xlsx,Y,SAT1841,2016/02/07 00:00,1
14,8200,8200,SAT1841,2016/02/07 00:00,1899/12/31 00:00:00,14:40:53,-25.19475,31.69475,37,0,0,0,0,305,0,7,119,330,SAT 1841.xlsx,Y,SAT1841,2016/02/07 00:00,1
15,8202,8202,SAT1841,2016/02/07 00:00,1899/12/31 00:00:00,18:40:32,-25.194883,31.694367,32,0,0,0,0,293,5,1,41,332,SAT 1841.xlsx,Y,SAT1841,2016/02/07 00:00,1
16,8203,8203,SAT1841,2016/02/08 00:00,1899/12/31 00:00:00,02:40:57,-25.186917,31.675883,25.5,0,0,0,0,349,5,1,2062,333,SAT 1841.xlsx,Y,SAT1841,2016/02/08 00:00,0
17,8204,8204,SAT1841,2016/02/08 00:00,1899/12/31 00:00:00,06:40:56,-25.187883,31.67585,27.5,0,0,0,0,333,2,3,108,334,SAT 1841.xlsx,Y,SAT1841,2016/02/08 00:00,1
18,8205,8205,SAT1841,2016/02/08 00:00,1899/12/31 00:00:00,10:40:57,-25.196117,31.693183,34.5,0,0,0,0,305,0,2,1972,335,SAT 1841.xlsx,Y,SAT1841,2016/02/08 00:00,0
19,8207,8207,SAT1841,2016/02/08 00:00,1899/12/31 00:00:00,14:40:57,-25.196167,31.693283,37.5,0,0,0,0,298,0,3,12,337,SAT 1841.xlsx,Y,SAT1841,2016/02/08 00:00,0
20,8210,8210,SAT1841,2016/02/09 00:00,1899/12/31 00:00:00,06:40:52,-25.21095,31.684867,23.5,0,0,0,0,326,0,1,1851,340,SAT 1841.xlsx,Y,SAT1841,2016/02/09 00:00,1
21,8212,8212,SAT1841,2016/02/09 00:00,1899/12/31 00:00:00,10:40:32,-25.210283,31.682783,33.5,0,0,0,0,319,1,2,223,342,SAT 1841.xlsx,Y,SAT1841,2016/02/09 00:00,0
22,8219,8219,SAT1841,2016/02/10 00:00,1899/12/31 00:00:00,22:40:32,-25.202033,31.675033,28,0,0,0,0,335,0,2,1200,349,SAT 1841.xlsx,Y,SAT1841,2016/02/10 00:00,1
23,8229,8229,SAT1841,2016/02/11 00:00,1899/12/31 00:00:00,10:40:32,-25.2015,31.688483,34.5,0,0,0,0,330,0,2,1356,359,SAT 1841.xlsx,Y,SAT1841,2016/02/11 00:00,0
24,8233,8233,SAT1841,2016/02/11 00:00,1899/12/31 00:00:00,18:41:03,-25.201833,31.70905,28.5,0,0,0,0,314,0,0,2072,363,SAT 1841.xlsx,Y,SAT1841,2016/02/11 00:00,1
25,8236,8236,SAT1841,2016/02/12 00:00,1899/12/31 00:00:00,10:40:33,-25.198817,31.667017,29.5,0,0,0,0,330,1,4,4247,366,SAT 1841.xlsx,Y,SAT1841,2016/02/12 00:00,1
