id,lon,lat,age,weight,rainfall,label
1,31.73519087,-25.52367538,41,4100,50,0
2,31.67162322,-25.52328941,5,500,79,0
3,31.91038185,-25.52208519,27,2700,108,0
4,31.82299358,-25.5157984,38,3800,187,0
5,31.29121483,-25.51479861,20,2000,154,0
6,31.69966644,-25.50511582,21,2100,127,0
7,31.33894361,-25.50490136,27,2700,87,0
8,31.06616435,-25.50337577,29,2900,289,0
9,31.98034301,-25.50229598,6,600,238,0
10,31.96784775,-25.49838924,19,1900,84,0
11,31.79402296,-25.49752256,24,2400,79,0
12,31.75203289,-25.49674505,2,200,278,0
13,30.97239312,-25.48969886,23,2300,253,0
14,31.9172626,-25.4877952,39,3900,25,0
15,31.95864779,-25.48600865,4,400,94,0
16,31.4590421,-25.48321297,33,3300,60,0
17,31.97616503,-25.48100914,5,500,121,0
18,31.39374018,-25.47922158,31,3100,214,0
19,31.31428715,-25.47883729,24,2400,81,0
20,31.51151664,-25.47701682,17,1700,280,1
21,31.51234643,-25.47661247,18,1800,316,1
22,31.51269739,-25.4757782,13,1300,151,1
23,31.86275312,-25.47568579,23,2300,178,0
24,31.51080404,-25.47511359,8,800,34,1
25,31.51080404,-25.47511359,30,3000,95,1
26,31.51080404,-25.47511359,11,1100,304,1
27,31.51090962,-25.475067,34,3400,198,1
28,31.51090962,-25.475067,24,2400,155,1
29,31.50981153,-25.47505564,41,4100,273,1
30,31.51199849,-25.47504052,19,1900,214,1
31,31.51100406,-25.47502533,3,300,116,1
32,31.51100406,-25.47502533,32,3200,101,1
33,31.51100406,-25.47502533,26,2600,68,1
34,31.51299099,-25.47502515,20,2000,200,1
35,31.51318258,-25.47500228,4,400,346,1
36,31.51318258,-25.47500228,20,2000,49,1
37,31.51318258,-25.47500228,22,2200,113,1
38,31.50884195,-25.47486213,23,2300,13,1
39,31.51108496,-25.47471292,3,300,234,1
40,31.51409546,-25.47466108,23,2300,310,1
41,31.50788625,-25.47461222,7,700,299,1
42,31.51022286,-25.47454754,20,2000,146,1
43,31.50693056,-25.4743623,30,3000,296,1
44,31.5062206,-25.47417664,9,900,340,1
45,31.5062206,-25.47417664,34,3400,224,1
46,31.50589369,-25.47413939,26,2600,345,1
47,31.50589369,-25.47413939,17,1700,139,1
48,31.51474411,-25.47398192,32,3200,149,1
49,31.50960852,-25.47383768,35,3500,221,1
50,31.51124758,-25.47382691,33,3300,121,1
51,31.5061692,-25.47327192,1,100,65,1
52,31.51534311,-25.47326122,2,200,13,1
53,31.50904035,-25.47309679,9,900,162,1
54,31.51104594,-25.47295201,12,1200,344,1
55,31.92519202,-25.47268626,7,700,184,0
56,31.56849581,-25.47264925,19,1900,101,0
57,31.51594211,-25.47254052,23,2300,179,1
58,31.50611567,-25.47238551,2,200,47,1
59,31.50850142,-25.4723383,4,400,207,1
60,31.51078024,-25.47208477,36,3600,183,1
61,31.13954985,-25.47182333,15,1500,328,0
62,31.51654109,-25.47181982,27,2700,341,1
63,31.5063285,-25.47159357,19,1900,300,1
64,31.50804445,-25.47153767,40,4000,330,1
65,31.51067647,-25.47119151,20,2000,81,1
66,31.51714007,-25.47109912,26,2600,221,1
67,31.50699244,-25.47094856,21,2100,235,1
68,31.50776553,-25.47067499,33,3300,135,1
69,31.62454364,-25.47050712,41,4100,129,0
70,31.51783664,-25.47045846,14,1400,250,1
71,31.50715918,-25.4703711,25,2500,217,1
72,31.50715918,-25.4703711,19,1900,348,1
73,31.50715918,-25.4703711,11,1100,233,1
74,31.51075329,-25.47029248,41,4100,205,1
75,31.50627674,-25.46995474,20,2000,179,1
76,31.51856601,-25.46984472,6,600,301,1
77,31.50777667,-25.46977224,17,1700,249,1
78,31.50539384,-25.46953932,18,1800,221,1
79,31.50739661,-25.46949476,11,1100,166,1
80,31.51074582,-25.4693897,41,4100,80,1
81,31.50444233,-25.46928857,34,3400,142,1
82,31.50344962,-25.46925997,31,3100,32,1
83,31.51929537,-25.46923097,10,1000,218,1
84,31.50251145,-25.46896186,38,3800,23,1
85,31.50778781,-25.4688695,12,1200,330,1
86,31.50778781,-25.4688695,7,700,64,1
87,31.50778781,-25.4688695,31,3100,251,1
88,31.52007999,-25.46867751,21,2100,209,1
89,31.50803038,-25.46865201,3,300,252,1
90,31.5015834,-25.4686379,21,2100,80,1
91,31.51059432,-25.46849831,36,3600,240,1
92,31.500679,-25.46826254,32,3200,95,1
93,31.50892483,-25.46825733,15,1500,216,1
94,31.50066091,-25.46825455,33,3300,122,1
95,31.50066091,-25.46825455,8,800,204,1
96,31.50066091,-25.46825455,10,1000,193,1
97,31.52090719,-25.46817634,3,300,223,1
98,31.49969037,-25.46809423,26,2600,338,1
99,31.501591,-25.46796921,14,1400,158,1
100,31.49877101,-25.46775053,8,800,187,1
101,31.52173438,-25.46767515,2,200,295,1
102,31.51030747,-25.4676362,7,700,297,1
103,31.50960896,-25.4676328,31,3100,309,1
104,31.5024588,-25.46752824,22,2200,101,1
105,31.49785504,-25.46739891,33,3300,163,1
106,31.52256157,-25.46717397,37,3700,172,1
107,31.50623802,-25.46715473,30,3000,76,1
108,31.50525056,-25.46708026,8,800,136,1
109,31.50331357,-25.4670673,32,3200,198,1
110,31.49693577,-25.46705502,18,1800,287,1
111,31.50721933,-25.46703789,26,2600,139,1
112,31.50426744,-25.46694409,34,3400,212,1
113,31.50996172,-25.46678971,8,800,277,1
114,31.50996172,-25.46678971,26,2600,134,1
115,31.50996172,-25.46678971,4,400,41,1
116,31.49599766,-25.46675535,6,600,66,1
117,31.52343704,-25.46674573,6,600,170,1
118,31.50811712,-25.46665538,3,300,140,1
119,31.49505781,-25.4664602,36,3600,246,1
120,31.50980248,-25.4663937,41,4100,18,1
121,31.5243287,-25.46634748,11,1100,55,1
122,31.49411623,-25.46616996,36,3600,323,1
123,31.50892722,-25.46613419,11,1100,251,1
124,31.52523883,-25.46598357,8,800,289,1
125,31.49316343,-25.4659113,5,500,211,1
126,31.49220351,-25.46567604,8,800,238,1
127,31.52614895,-25.46561965,1,100,123,1
128,31.5095804,-25.46552059,24,2400,216,1
129,31.5095804,-25.46552059,16,1600,308,1
130,31.5095804,-25.46552059,2,200,169,1
131,31.49123766,-25.46546892,5,500,136,1
132,31.52708227,-25.46530806,15,1500,306,1
133,31.49030975,-25.46514517,4,400,343,1
134,31.52801714,-25.46500019,23,2300,52,1
135,31.48940521,-25.46477191,34,3400,69,1
136,31.51011483,-25.46475923,6,600,190,1
137,31.52893483,-25.46465982,37,3700,320,1
138,31.48860678,-25.46423696,1,100,109,1
139,31.52979838,-25.46421205,38,3800,189,1
140,31.51074461,-25.46406509,6,600,197,1
141,31.52850617,-25.46391396,28,2800,94,1
142,31.52751289,-25.46387404,35,3500,78,1
143,31.53063538,-25.46372544,3,300,305,1
144,31.52947241,-25.46372082,3,300,174,1
145,31.52654319,-25.46369108,30,3000,15,1
146,31.48791883,-25.46358505,36,3600,229,1
147,31.51148158,-25.46345892,31,3100,295,1
148,31.53036014,-25.46331796,31,3100,135,1
149,31.52566917,-25.46326345,16,1600,300,1
150,31.53146075,-25.46322182,21,2100,67,1
